model,cv_mae_mean,cv_mae_std,cv_rmse_mean,cv_rmse_std,cv_r2_mean,cv_r2_std,test_mae,test_rmse,test_r2,best_params
XGBoost,53.63494110107422,0.636648029348438,97.8792739868164,1.4094199900671518,0.8791461825370789,0.0028512380429792,65.81867218017578,118.58819568679675,0.8094515800476074,"{'model__subsample': 1.0, 'model__n_estimators': 200, 'model__max_depth': 5, 'model__learning_rate': 0.05, 'model__colsample_bytree': 1.0}"
Random Forest,84.31279327710595,4.323032628639899,157.9191645464763,15.125373550535652,0.7254445317531193,0.0307401339843737,93.62706214757524,170.02598140486398,0.6083004651300046,"{'model__n_estimators': 30, 'model__min_samples_leaf': 4, 'model__max_features': 'sqrt', 'model__max_depth': 8} (found on 10000-row subsample, refit on full train set)"
Linear Regression,119.46255230216411,0.8152040694704641,211.0668027751571,4.653090985911716,0.4383256693187388,0.0029084470414258,118.40764181425192,202.99284587393427,0.44167903019385923,n/a (no tuning)
